Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),NO2(13),NO2_X(14),NHO_X(15),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),N2X(48)
3.9166445743450245e-05,0.041168933244172715,1.051723529727027e-07,3.3675378006985763e-06,1.1886912650141587e-06,2.9202678448137306e-19,2.837467365997936e-06,8.226982913181743e-27,4.634722408599348e-14,3.678742836737596e-17,0.938,9.729178357419662e-06,0.01590443946435883,0.00048301316612890904,3.3661629281092677e-09,2.009570688529156e-05,0.0,0.0,0.009419401931752766,0.001672356897118501,0.05073992550456526,3.22051223411355e-10,9.226864225701761e-17,0.0014836885905494918,9.633833623712733e-13,9.247617252916441e-13
3.923807108476237e-05,0.041168933244172715,1.0483021443672431e-07,3.37608080914875e-06,1.1882009867510373e-06,2.952922847543286e-19,2.836613608049072e-06,8.284313222594903e-27,4.663419914234673e-14,3.690397506139479e-17,0.938,9.778667407891887e-06,0.01590701266408429,0.00048482240859355687,3.3687359442602236e-09,2.0061034256035955e-05,0.0,0.0,0.009414997813725267,0.0016696470989936824,0.05074272289973241,3.253922038822112e-10,9.30725433704843e-17,0.0014818563240706782,9.746117900977222e-13,9.339263083478845e-13
3.930253389194329e-05,0.041168933244172715,1.0452361862409293e-07,3.383762201264513e-06,1.1877612538042813e-06,2.982538121274503e-19,2.8358416851660095e-06,8.336069430532166e-27,4.689305977367815e-14,3.700882781466789e-17,0.938,9.823268814718942e-06,0.015909315530792393,0.0004864514196337374,3.371034856192037e-09,2.002986573055021e-05,0.0,0.0,0.00941104633764769,0.001667214193422692,0.05074524168018278,3.2842049139004895e-10,9.379994560665364e-17,0.0014802064992590364,9.847996278008394e-13,9.422294995318386e-13
3.93669966991242e-05,0.041168933244172715,1.0421827418147836e-07,3.3914365916316715e-06,1.1873229520473535e-06,3.012368159735196e-19,2.8350664306056952e-06,8.387975640041323e-27,4.715246938092745e-14,3.711364223324122e-17,0.938,9.867927768261099e-06,0.015911606129859784,0.0004880810765301304,3.373317881976551e-09,1.9998732077848596e-05,0.0,0.0,0.009407106398601815,0.0016647868676748152,0.05074776150966554,3.314691365269575e-10,9.453103989555381e-17,0.0014785559418810845,9.95065746618149e-13,9.505850387199402e-13
3.943145950630512e-05,0.041168933244172715,1.0391417387648266e-07,3.3991039116733417e-06,1.1868860753086876e-06,3.0424138065094954e-19,2.8342878660743356e-06,8.44003130421731e-27,4.7412424659328256e-14,3.7218417229538656e-17,0.938,9.912643795665085e-06,0.015913884519352533,0.0004897113691882144,3.375585052643073e-09,1.996763327011277e-05,0.0,0.0,0.009403177949177017,0.0016623651009203793,0.05075028237225297,3.345382155489459e-10,9.526583159752302e-17,0.0014769046626076714,1.0054104909977158e-12,9.589930990701405e-13
3.9495922313486036e-05,0.041168933244172715,1.0361131053094618e-07,3.406764092971009e-06,1.1864506174493638e-06,3.0726759038389794e-19,2.833506013103373e-06,8.492235872457476e-27,4.767292229404033e-14,3.7323151714461223e-17,0.938,9.957416424125734e-06,0.01591615075706585,0.0004913422875444846,3.377836399263309e-09,1.9936569279726647e-05,0.0,0.0,0.009399260942202161,0.0016599488724416708,0.05075280425206418,3.3762780466562097e-10,9.600432601500852e-17,0.0014752526720781662,1.0158342051415513e-12,9.674538535190906e-13
3.956038512066695e-05,0.041168933244172715,1.0330967702066325e-07,3.4144170672635548e-06,1.186016572360685e-06,3.103155292660214e-19,2.8327208930510107e-06,8.544588790493895e-27,4.79339589603185e-14,3.742784460372285e-17,0.938,1.0002245180899663e-05,0.01591840490052566,0.0004929738215664381,3.380071952968801e-09,1.9905540079271785e-05,0.0,0.0,0.009395355330744107,0.0016575381616321637,0.05075532713326511,3.407379800389206e-10,9.674652839247955e-17,0.0014735999809004654,1.0263372329958203e-12,9.75967474779457e-13
3.962484792784787e-05,0.041168933244172715,1.0300926627538308e-07,3.4220627664513424e-06,1.1855839339628954e-06,3.133852812612985e-19,2.831932527103819e-06,8.59708950042599e-27,4.8195531323689915e-14,3.7532494816182e-17,0.938,1.0047129593319153e-05,0.015920647006990103,0.0004946059612525507,3.3822917449571733e-09,1.9874545641526417e-05,0.0,0.0,0.009391461068106162,0.001655132947995762,0.05075785100006856,3.4386881778185345e-10,9.749244391634484e-17,0.0014719465996509994,1.0369199182410708e-12,9.84534135337259e-13
3.9689310735028785e-05,0.041168933244172715,1.0271007127756308e-07,3.429701122597939e-06,1.185152696208802e-06,3.1647693019097617e-19,2.831140936278275e-06,8.649737440753298e-27,4.84576360401039e-14,3.763710126767452e-17,0.938,1.0092069188805538e-05,0.01592287713345102,0.0004962386966322591,3.3844958064614005e-09,1.984358593946402e-05,0.0,0.0,0.00938757810782661,0.0016527332111460436,0.050760375836734116,3.470203939572421e-10,9.824207771487216e-17,0.001470292538874738,1.0475826042824866e-12,9.931540074492168e-13
3.974732726149161e-05,0.041168933244172715,1.0244182948579039e-07,3.436569308810768e-06,1.1847657748064694e-06,3.192782052737035e-19,2.8304257644985847e-06,8.697246002080534e-27,4.869398267526976e-14,3.773120876721056e-17,0.938,1.0132561615761425e-05,0.015924874051253167,0.0004977086595762846,3.38646603811155e-09,1.981575188443312e-05,0.0,0.0,0.009384093068878996,0.0016505781138723228,0.050762649005993477,3.498746066993349e-10,9.891993144998201e-17,0.0014688033118707667,1.0572477059952852e-12,1.0009575304121026e-12
