Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),NO2(13),NO2_X(14),NHO_X(15),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7)
2.3644794229282862e-05,0.05954180215024143,1.3936525314948767e-08,5.685829944991419e-07,5.873501107510726e-07,1.1563680455122076e-15,2.370989982834392e-06,6.79581001573576e-17,1.4098134138595718e-10,3.02664564783585e-14,0.938,4.607182638941648e-05,0.015819581128789416,0.0011024896068173953,1.832601320322111e-08,1.915693778481592e-07,0.0,0.0,0.020406027980983937,0.0011981880690514794,0.05173735030624496,5.224439026522875e-06,1.8949091713793756e-09,0.0008401880690278051,1.2747445757399995e-08
2.3684611644469128e-05,0.05954180215024143,1.3881069190102477e-08,5.685174203477283e-07,5.872517896997502e-07,1.1641140307252254e-15,2.3681568833475813e-06,6.815208459619581e-17,1.4132979492791825e-10,3.027490474570504e-14,0.938,4.616870467058014e-05,0.01582223223934746,0.0011043739092584392,1.8310376590275662e-08,1.9105754121788323e-07,0.0,0.0,0.02040139926927927,0.0011952762824070679,0.051740425908122084,5.258480587500847e-06,1.902441479629281e-09,0.0008381392535678931,1.2835746692011786e-08
2.3724429059655394e-05,0.05954180215024143,1.3825909329783473e-08,5.684495174655617e-07,5.87153789878942e-07,1.17188741355804e-15,2.365327578504113e-06,6.834584174964337e-17,1.4167768986996873e-10,3.028319181164302e-14,0.938,4.626538425262719e-05,0.01582487377727482,0.0011062535070852791,1.829473263436542e-08,1.9054712860451704e-07,0.0,0.0,0.020396785030019095,0.001192372885959189,0.05174349450028796,5.29263836603437e-06,1.9099759240557808e-09,0.0008360951089269289,1.2924380693394563e-08
2.380406389002793e-05,0.05954180215024143,1.3716470018922922e-08,5.683067788129556e-07,5.869587481623911e-07,1.1875162886910491e-15,2.3596803692247347e-06,6.873267047351962e-17,1.4237180076665216e-10,3.029928519440778e-14,0.938,4.645814752410636e-05,0.015830128340756207,0.0011099986182675694,1.8263423637359433e-08,1.895305594149038e-07,0.0,0.0,0.020387599733696943,0.0011865911391497836,0.05174961069877478,5.3613022027522135e-06,1.925050918984923e-09,0.0008320208032445591,1.3102647275613844e-08
2.387573523736321e-05,0.05954180215024143,1.3618966985022086e-08,5.681704830069171e-07,5.867842948347883e-07,1.2016757649481103e-15,2.3546108987878586e-06,6.908002974762559e-17,1.4299458229905038e-10,3.0313225075806825e-14,0.938,4.6630955457820933e-05,0.015834825222116003,0.0011133532024337387,1.8235222776066087e-08,1.8862047718806235e-07,0.0,0.0,0.020379381875620144,0.001181415950461855,0.05175509141311425,5.4234961762229335e-06,1.9386249641037198e-09,0.000828369829727078,1.3264224702126634e-08
2.3947406584698492e-05,0.05954180215024143,1.3522391738127603e-08,5.680268478857693e-07,5.86610860108811e-07,1.215923678427911e-15,2.349553783476315e-06,6.942663840922885e-17,1.4361554200803437e-10,3.032665371594743e-14,0.938,4.6803120490819584e-05,0.015839491877926232,0.001116692658563767,1.8207001733877712e-08,1.877149467410782e-07,0.0,0.0,0.020371210002537787,0.0011762674659740865,0.05176054958542653,5.4860652176303325e-06,1.9522047628109926e-09,0.000824733876713142,1.3426878756354266e-08
2.4019077932033773e-05,0.05954180215024143,1.3426732582643182e-08,5.678759495533864e-07,5.864384358327513e-07,1.230259900099077e-15,2.3445090434376747e-06,6.977249133218574e-17,1.4423467571818294e-10,3.033957522319896e-14,0.938,4.697464301751895e-05,0.015844128597723876,0.0011200170302524328,1.817876182276423e-08,1.8681394497556035e-07,0.0,0.0,0.020363083780869103,0.0011711455085603498,0.051765985280040755,5.549008754091634e-06,1.9657898832677753e-09,0.0008211129013204648,1.3590608429769411e-08
2.4090749279369054e-05,0.05954180215024143,1.3331978008220778e-08,5.677178635337729e-07,5.862670139454797e-07,1.244684298296548e-15,2.3394766974765148e-06,7.011758349952905e-17,1.4485197942067574e-10,3.03519936860546e-14,0.938,4.714552346587255e-05,0.01584873566746942,0.0011233263613557533,1.8150504332191667e-08,1.8591744888493002e-07,0.0,0.0,0.020355002880316574,0.001166049902660288,0.05177139856169746,5.612326202462418e-06,1.979379896955644e-09,0.00081750686039288,1.3755412677128826e-08
2.4162420626704335e-05,0.05954180215024143,1.3238116686246056e-08,5.675526647744726e-07,5.860965864751802e-07,1.2591967387609656e-15,2.3344567630880197e-06,7.046191000204775e-17,1.4546744927058697e-10,3.0363913173069335e-14,0.938,4.731576229666672e-05,0.015853313369599272,0.001126620695980915,1.8122230529509014e-08,1.8502543555496823e-07,0.0,0.0,0.020346966973824338,0.0011609804742613186,0.051776789495532854,5.676016969492692e-06,1.9929743786746677e-09,0.0008139157105108023,1.3921290416929425e-08
2.4234091974039616e-05,0.05954180215024143,1.3145137466415685e-08,5.673804276499846e-07,5.859271455380966e-07,1.2737970846776904e-15,2.3294492564912766e-06,7.08054660368821e-17,1.4608108158421954e-10,3.0375337732803085e-14,0.938,4.748536000282902e-05,0.01585786198307726,0.0011299000784764307,1.809394166032981e-08,1.8413788216433419e-07,0.0,0.0,0.020338975737537162,0.0011559370508809018,0.0517821581470634,5.740080451981563e-06,2.0065729065409006e-09,0.0008103394080014504,1.4088240531861583e-08
2.4305763321374897e-05,0.05954180215024143,1.3053029373368142e-08,5.67201225965618e-07,5.857586833372742e-07,1.2884851967154477e-15,2.3244541926627e-06,7.114824690613417e-17,1.466928728364816e-10,3.038627139379559e-14,0.938,4.765431710874901e-05,0.015862381783445255,0.0011331645534225214,1.806563894891735e-08,1.832547659850455e-07,0.0,0.0,0.020331028850760033,0.0011509194615490555,0.05178750458217098,5.804516036930559e-06,2.0201750619834545e-09,0.0008067779089488364,1.4256261869259733e-08
2.437743466871018e-05,0.05954180215024143,1.2961781603393286e-08,5.67015132960969e-07,5.855911921613581e-07,1.3032609330647286e-15,2.3194715853675667e-06,7.149024801549412e-17,1.4730281965830172e-10,3.039671816452106e-14,0.938,4.78226341696112e-05,0.015866873042872993,0.001136414165621716,1.8037323598552393e-08,1.8237606438293103e-07,0.0,0.0,0.020323125995918463,0.0011459275367911221,0.05179282886708812,5.869323101695573e-06,2.0337804297411215e-09,0.0008032311692035269,1.4425353241550153e-08
2.444910601604546e-05,0.05954180215024143,1.2871383521229446e-08,5.668222213131205e-07,5.854246643834102e-07,1.3181241494758065e-15,2.3145014471904794e-06,7.183146487288166e-17,1.4791091883407546e-10,3.040668203332978e-14,0.938,4.7990311770739663e-05,0.01587133603020701,0.0011396489600896684,1.8008996791889142e-08,1.8150175481806e-07,0.0,0.0,0.0203152668585193,0.001140961108610782,0.05179813106838366,5.934501014137431e-06,2.0473885978586013e-09,0.0007996991443921793,1.4595513426695918e-08
